                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2525,                 3.2149,                 1.6878,                0.00943,                 0.9974,                0.22867,                 0.1332,                 1.1103,                 3.8981,                 1.7612,             0.00036032,             0.00036032,             0.00036032
                      2,                 1.2058,                 2.5929,                 1.6017,                0.26743,                0.57477,                0.28983,                0.17718,                 1.2303,                 3.3119,                 1.9327,             0.00069449,             0.00069449,             0.00069449
                      3,                 1.2751,                 2.5316,                  1.624,                0.23024,                0.29334,                0.24618,                0.13694,                 1.5131,                 4.6929,                 2.3464,             0.00099199,             0.00099199,             0.00099199
                      4,                 1.2189,                 2.4003,                 1.5733,                0.16644,                0.45865,                0.19123,                0.09641,                  1.518,                  3.368,                 2.1524,             0.00094602,             0.00094602,             0.00094602
                      5,                 1.2106,                 2.2596,                 1.5491,                0.44623,                0.52462,                0.46039,                0.30152,                 1.2157,                 2.5966,                 1.8155,             0.00094602,             0.00094602,             0.00094602
                      6,                 1.1673,                 2.1168,                 1.4951,                0.32553,                0.62806,                0.48251,                0.31637,                 1.2393,                  2.562,                 1.8266,             0.00089102,             0.00089102,             0.00089102
                      7,                 1.1917,                 2.0936,                 1.5338,                 0.3574,                0.47552,                0.39839,                0.26826,                 1.2283,                 2.7998,                  1.887,             0.00083603,             0.00083603,             0.00083603
                      8,                 1.1776,                 2.0202,                 1.5197,                0.31329,                0.57117,                0.41525,                0.28198,                 1.1752,                 2.3157,                 1.7805,             0.00078103,             0.00078103,             0.00078103
                      9,                 1.1894,                  1.945,                 1.4845,                0.41049,                0.61577,                0.44911,                0.27694,                 1.2397,                 2.1954,                 1.8088,             0.00072604,             0.00072604,             0.00072604
                     10,                 1.1097,                 1.8606,                 1.4654,                0.55883,                 0.5722,                0.59405,                0.42619,                 1.0926,                 1.9575,                 1.6643,             0.00067104,             0.00067104,             0.00067104
                     11,                  1.001,                 1.8751,                 1.5476,                0.51113,                0.58266,                0.56445,                 0.4133,                 1.0783,                  2.042,                 1.6337,             0.00061605,             0.00061605,             0.00061605
                     12,                0.93225,                 1.6755,                 1.4708,                0.47835,                0.51573,                0.58905,                  0.436,                 1.0095,                 1.9001,                 1.5844,             0.00056105,             0.00056105,             0.00056105
                     13,                0.89462,                 1.5827,                 1.4462,                0.62838,                0.67121,                0.66561,                0.51691,                0.95742,                 1.6848,                 1.5003,             0.00050606,             0.00050606,             0.00050606
                     14,                0.88812,                 1.4467,                 1.4134,                0.67861,                0.69591,                0.72461,                0.54252,                 1.0066,                 1.5868,                 1.5573,             0.00045107,             0.00045107,             0.00045107
                     15,                0.88194,                  1.377,                  1.404,                0.70543,                0.58935,                0.70184,                 0.5282,                0.99862,                 1.6078,                 1.5472,             0.00039607,             0.00039607,             0.00039607
                     16,                0.84112,                 1.2716,                 1.3855,                0.71672,                0.59619,                0.74018,                0.56606,                0.97371,                 1.5148,                 1.5111,             0.00034108,             0.00034108,             0.00034108
                     17,                0.78285,                 1.1898,                  1.324,                0.61792,                0.73848,                0.76139,                0.58222,                0.99547,                 1.4313,                 1.5439,             0.00028608,             0.00028608,             0.00028608
                     18,                 0.7795,                 1.1623,                 1.3182,                0.72539,                 0.7442,                0.78845,                0.60555,                0.94812,                 1.3549,                 1.4996,             0.00023109,             0.00023109,             0.00023109
                     19,                0.77027,                 1.0901,                 1.3001,                 0.8108,                0.71121,                0.83356,                0.65012,                0.91457,                 1.3025,                 1.4728,             0.00017609,             0.00017609,             0.00017609
                     20,                0.72486,                 1.0395,                 1.2672,                0.72292,                0.81226,                0.85293,                0.67636,                0.89389,                  1.237,                 1.4377,              0.0001211,              0.0001211,              0.0001211
